type,factor,minus,plus,total_mentions,net_sentiment
GT,Simplicity_Difficulty_Of_The_Route,2012,19948,21960,17936
CP,Todays_Weather,2824,13637,16461,10813
ACT,Ability_To_Do_What_I_Wanted,2143,13082,15225,10939
CP,Scenery,3275,11318,14593,8043
GT,Reliability_Of_Travel_Time,1688,9740,11428,8052
GT,Road_Path_Availability_And_Safety,2630,8082,10712,5452
CP,Noise_Level,4178,5980,10158,1802
CP,Air_Quality,3778,5379,9157,1601
CP,Road_Path_Quality,2496,6579,9075,4083
CP,Road_Path_Directness,1029,6322,7351,5293
CP,Other_People,1900,4981,6881,3081
GT,Parking_At_End_Points,1052,5614,6666,4562
GT,Information_And_Signs,1397,4894,6291,3497
GT,Ability_To_Take_Kids_Or_Pets_Along,1638,4490,6128,2852
GT,Route_Planning_Navigation_Tools,1088,4939,6027,3851
GT,Security_And_Safety,714,5278,5992,4564
GT,Convenient_Access,1316,4343,5659,3027
GT,Traffic_Signals_Crossings,1978,3323,5301,1345
CP,Cars_Other_Vehicles,3410,1540,4950,-1870
GT,Traffic_Congestion_Delays,1856,2965,4821,1109
CP,Lighting_Visibility,1003,3803,4806,2800
CP,Privacy,1125,3560,4685,2435
GT,Crowding_Congestion,2040,2580,4620,540
CP,Vehicle_Quality,354,3878,4232,3524
GT,Space_Onboard_For_Lugagge_Pram_Bicycle,731,3440,4171,2709
CP,Road_Quality_Vehicle_Ride_Smoothness,727,3297,4024,2570
CP,Other_Passengers,304,3451,3755,3147
GT,Ability_To_Carry_Bags_Luggage_Etc,770,2971,3741,2201
CP,Seat_Comfort,249,3197,3446,2948
WYR,Todays_Weather,818,2562,3380,1744
GT,Benches_Toilets_Etc,1175,1646,2821,471
CP,Seating_Quality_Personal_Space,836,1966,2802,1130
GT,Facilities_Shower_Lockers,1408,1310,2718,-98
WYR,Crowdedness_Seating,839,1813,2652,974
CP,Vehicle_Ride_Smoothness,485,1958,2443,1473
CP,Other_Cars_Vehicles,1005,1022,2027,17
CP,Cleanliness,489,1424,1913,935
GT,Payment_And_Tickets,261,1596,1857,1335
CP,Charging_Opportunity,507,1342,1849,835
WYR,Internet_Connectivity,725,807,1532,82
WYR,Charging_Opportunity,730,628,1358,-102
WYR,Tables,457,551,1008,94
WYR,Food_Drink_Allowed,370,600,970,230
GT,Checkin_Security_And_Boarding,307,628,935,321
WYR,Car_Bike_Parking_At_Transfer_Point,403,487,890,84
WYR,Road_Path_Quality,198,430,628,232
WYR,Scenery,111,464,575,353
WYR,Air_Quality,200,361,561,161
WYR,Toilets,195,285,480,90
WYR,Road_Path_Directness,70,380,450,310
WYR,Noise_Level,203,225,428,22
WYR,Food_Drink_Available,200,185,385,-15
WYR,Entertainment,157,219,376,62
WYR,Other_People,58,274,332,216
WYR,Cars_Other_Vehicles,212,114,326,-98
WYR,Lighting_Visibility,28,253,281,225
WYR,Vehicle_Quality,24,237,261,213
WYR,Road_Quality_Vehicle_Ride_Smoothness,59,192,251,133
WYR,Seat_Comfort,11,203,214,192
WYR,Shopping_Retail,75,126,201,51
WYR,Privacy,7,192,199,185
WYR,Other_Passengers,7,182,189,175
CP,General_Atmosphere_Design,54,104,158,50
WYR,Other_Cars_Vehicles,82,54,136,-28
